,Pesos,Condutância
0,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.00
1,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.00
2,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.38
3,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.64
4,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.82
5,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.38
6,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.64
7,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.82
8,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.92
9,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.38
10,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.64
11,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.82
12,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.92
13,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.38
14,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.64
15,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.82
16,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.92
17,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.98
18,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.38
19,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.64
20,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.82
21,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.92
22,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.98
23,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 1.00
24,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.99
25,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.96
26,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.92
27,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.87
28,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.38
29,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.64
30,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.82
31,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.92
32,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.98
33,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 1.00
34,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.99
35,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.96
36,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.92
37,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.87
38,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.81
39,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.75
40,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.69
41,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.63
42,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.58
43,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.52
44,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.47
45,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.42
46,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.38
47,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.34
48,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.30
49,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.27
50,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.24
51,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.21
52,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.19
53,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.17
54,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.15
55,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.13
56,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.11
57,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.10
58,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.09
59,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.08
60,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.07
61,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.06
62,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.05
63,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.04
64,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.04
65,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.03
66,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.38
67,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.64
68,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.82
69,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.92
70,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.98
71,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.38
72,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.64
73,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.82
74,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.92
75,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.98
76,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 1.00
77,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.99
78,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.38
79,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.64
80,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.82
81,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.92
82,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.98
83,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 1.00
84,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.99
85,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.96
86,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.92
87,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.87
88,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.81
89,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.75
90,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.69
91,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.63
92,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.58
93,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.52
94,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.47
95,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.42
96,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.38
97,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.34
98,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.30
99,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.27
100,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.24
101,-14.08 -14.90 -14.11 -14.89,0.00 0.00 0.00 0.21
